Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region
Japan,4968360,4374710,4182845,4519564,4893135,4831467,4601663,4579750,5106679,5289494,5759072,6233148,6272362,5212328,4896995,4444931,5003678,4930837,5040881,5117995,East
Jordan,8725,9268,9972,10575,11771,13134,15795,17957,22648,24538,27134,29524,31679,34503,36900,38642,39949,41667,43432,45058,West
Kazakhstan,18292,22153,24637,30834,43152,57125,81003,104850,133442,115309,148047,192626,207999,236635,221416,184388,137289,166806,179340,181667,Central
Kuwait,37721,34886,38135,47844,59439,80807,101559,114677,147402,105992,115401,154020,174066,174179,162695,114606,109381,120687,138202,136192,West
Kyrgyzstan,1368,1525,1606,1920,2214,2459,2837,3807,5139,4690,4794,6198,6604,7335,7467,6678,6813,7703,8271,8872,Central
Laos,1720,1757,1844,2260,2651,3079,3934,4757,5946,6431,7506,8964,10194,11972,13266,14418,15905,17055,18131,18770,Southeast
Lebanon,17018,17361,18837,19486,21160,21497,22023,24827,29119,35400,38444,39927,44017,46880,48096,49929,51148,53028,54901,50880,West
Malaysia,102149,101054,109833,120025,135869,150356,170514,202869,242080,212026,258844,302643,319153,328074,343088,301360,301918,319249,358994,365283,Southeast
Maldives,801,767,828,1052,1227,1163,1575,1868,2272,2345,2588,2629,2885,3286,3690,4098,4367,4747,5294,5598,South
Mongolia,1137,1268,1397,1595,1992,2523,3414,4235,5623,4584,7185,10410,12278,12582,12227,11620,11154,11481,13207,14206,East
Myanmar,7736,7131,6921,8881,10754,12126,13585,17855,25470,30864,38084,53916,59000,60903,63153,62655,60090,61267,66699,68802,Southeast
Nepal,6536,6719,6816,7217,8296,9329,10314,11775,14308,14661,18250,21682,21703,22161,22722,24361,24524,28972,33112,34186,South
Oman,22259,22206,23066,24734,28379,35507,42578,48300,69805,55454,64994,77497,87409,89936,92699,78711,75129,80857,91505,88061,West
Pakistan,89651,87389,87933,101103,118844,132833,154493,171512,191425,188991,199405,240385,252534,260257,275063,304481,313623,339229,356163,321071,South
Palestine,4314,4004,3556,3968,4603,5126,5348,5816,7310,8086,9682,11186,12208,13516,13990,13972,15405,16128,16277,17134,West
Philippines,83667,78921,84307,87039,95002,107420,127653,155980,181007,176132,208369,234217,261920,283903,297484,306446,318627,328481,346842,376823,Southeast
