"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
5/11/23 12:08 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Expanding access to single-dose HPV vaccines could save 45 million lives worldwide over the next 100 years. This is a great example of why I’m optimistic about the future of global health. https://t.co/DjaMRXOQle",,,236.0,"1656330257585295363"
5/10/23 4:21 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I’m very encouraged by the E-MOTIVE Trial results released today at #IMNHC2023 to treat postpartum hemorrhage, the #1 cause of maternal mortality. This new approach led by @unibirmingham and @WHO could drastically improve women’s chances of surviving childbirth globally.… https://t.co/HP7fclWQV8",,,294.0,"1656031621127241728"
5/10/23 3:27 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","By prioritizing accessibility, affordability, and economic mobility, @NAU is redefining—and increasing—the value of a college degree. I can’t wait to visit the school this weekend and see the incredible work they’re doing up close. 
https://t.co/LwkO0KQUwl",,,190.0,"1656018194677768192"
5/9/23 3:36 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Eradicating smallpox was hard, but it was also one of the most important achievements in human history. That makes it worth celebrating—and learning from. https://t.co/OeblsUug3w",,,249.0,"1655657995043471360"
5/9/23 2:22 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Nuclear energy, if we do it right, will help us solve our climate goals. Thanks for the great conversation, @rebeccajarvis. https://t.co/IoGM8qKcoO",,,456.0,"1655639424842223616"
5/8/23 4:02 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Aside from water, there’s no material on Earth we use more than concrete. That’s why it’s so important to figure out how to decarbonize it. https://t.co/49PLdExMU3",,,378.0,"1655302070319325184"
5/6/23 1:56 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","This next-generation nuclear facility will be a win for the local economy, America’s energy independence, and the fight against climate change. https://t.co/u9P7uB64vQ",,,428.0,"1654545546655461376"
5/6/23 12:24 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","On International Day of the Midwife, I’m thinking about Eva Nangalo—a tireless advocate for mothers and babies and the next generation of trained #midwives in Uganda. #IDM2023 https://t.co/9JoyZceamm",,,177.0,"1654522375889895424"
5/5/23 3:42 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @gatesfoundation: Is college the right choice for everyone?  

On this episode of “Make Me Care About,” @JenHatmaker and Jose Cruz River…",,,112.0,"1654209878645411850"
5/4/23 2:16 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","When I first met @dsengeh in 2011, I was blown away by his intellect, his ambition, and his sense of humor. His new book is a must-read for anyone who wants to help create a truly inclusive world. https://t.co/VGjrQjjgdn",,,210.0,"1653825855255351296"
4/30/23 6:00 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","As we rely more and more on electricity, it's vital to find innovative ways to generate clean power. https://t.co/74qlX65ZfJ",,,355.0,"1652432645790498816"
4/29/23 2:38 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Mann ki Baat has catalyzed community led action on sanitation, health, women’s economic empowerment and other issues linked to the Sustainable Development Goals. Congratulations @narendramodi on the 100th episode. https://t.co/yg1Di2srjE",,,2091.0,"1652200756123164678"
4/29/23 3:44 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","To #EndPolio, we must immunize the world's most vulnerable children—especially those who have not been vaccinated before. Protecting ‘zero-dose’ children against paralysis with polio vaccines like nOPV2 will help usher in a healthier future for us all. https://t.co/borglIQgNX",,,299.0,"1652035984987668480"
4/28/23 4:30 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","The connection is clear: when vaccine coverage goes down, we see more outbreaks of deadly diseases. That’s why we must strengthen health systems and invest in new & improved vaccines. #VaccinesWork https://t.co/pMUElNhSPp",,,326.0,"1651685317202821120"
4/28/23 2:35 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","This new fellowship powered by the AD Data Initiative aims to accelerate Alzheimer's research through data sharing and global collaboration. Early- and mid-career researchers and scientists in neuroscience or quantitative fields can apply in May. https://t.co/qahwBegySZ",,,246.0,"1651656247937236992"
4/26/23 3:04 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Everyone should have the same goal in mind: ending preventable diseases like polio. I had the pleasure of meeting @MichaelEssien last year. His ongoing support of protecting children is inspiring. #EndPolio #VaccinesWork https://t.co/vDYkQloN3I",,,336.0,"1650938849718337538"
4/26/23 2:16 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @MalariaNoMore: Today is #WorldMalariaDay!

Thanks to global efforts to fight #malaria, an estimated 2 billion cases have been prevented…",,,171.0,"1650926809415041024"
4/26/23 2:12 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Despite being both preventable and curable, malaria still claims more than 600,000 lives each year. But this #WorldMalariaDay, I’m filled with hope because of promising tools that could drastically change the game and help us #EndMalaria in a generation. https://t.co/VZvmV1KnNd",,,233.0,"1650925775766577153"
4/25/23 8:09 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","This new discovery in mathematics is really cool. https://t.co/QSibsGbmDU",,,374.0,"1650653133784379393"
4/25/23 1:37 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Uganda’s maternal mortality rate is at least double the global average. That's why Eva Nangalo has dedicated her life to making childbirth in the country safer for everyone involved. https://t.co/29AjdJehNY",,,1220.0,"1650554656010141696"
4/24/23 11:22 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","They say the eyes are the windows to the soul, but they could also be the key to unlocking early info on cognitive disorders like Alzheimer's. https://t.co/7KHfLR6sN6",,,376.0,"1650339520712409089"
4/23/23 11:22 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","You might see me using the “bathtub metaphor” next time I’m describing carbon dioxide removal. This is a great explainer. https://t.co/cyib47tFsF",,,233.0,"1650158130783985664"
4/21/23 5:37 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @gatesfoundation: Chickpeas? Garbanzo beans?  
 
No matter what you call these little round legumes, they are one of the best ingredient…",,,144.0,"1649165460955623424"
4/21/23 5:00 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","This week in In San Diego, I got to talk with @jessieww about the issues with today’s math curricula—and the promises the future holds. https://t.co/BRxKtpa2pz",,,185.0,"1649156031904354304"
4/21/23 1:24 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","For decades, we’ve been fighting back against deadly diseases by expanding access to lifesaving vaccines. Coming out of the pandemic, we’re facing new challenges to #BuildBackImmunity–and past successes have proven that we can overcome these challenges together. https://t.co/PF8Af8zUyl",,,237.0,"1649101726434332673"
4/21/23 12:24 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","It’s always great catching up with @jessieww. We chatted about math, edtech, AI, and human ingenuity. Here’s a look at our conversation. https://t.co/oT7pdEXRY4",,,202.0,"1649086523093155843"
4/18/23 6:34 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I had a lot of fun meeting @CheechMarin, experiencing @TheCheechCenter, and learning a lot about his work to support the arts, education, and economic mobility for Mexican Americans. https://t.co/NXOHub9Scd",,,451.0,"1648092684698140672"
4/12/23 2:30 AM,"Bill Gates","50393960",,"-1","en","<a href='https://studio.twitter.com' rel='nofollow'>Twitter Media Studio</a>","I am so impressed with Eva Nangalo—it’s hard not to be. She’s spent decades making childbirth safer in Uganda for everyone involved, and she’s become a mentor to countless other midwives in the process. https://t.co/79RHbrCt01",,,624.0,"1645856798262591488"
4/11/23 2:10 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I’m grateful for the Lauder family’s dedication to solving Alzheimer’s. https://t.co/vX0qtjBFxt",,,423.0,"1645489412363661312"
4/9/23 2:55 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I’m excited to see @devisridhar‘s book in paperback. Her way of thinking about preparing for the next pandemic is one we should all pay attention to. https://t.co/g0HLziFG8q",,,386.0,"1644776053490196480"
