Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region
Saudi Arabia,189515.0,184137.0,189606,215807,258742,328206,376398,415687,519797,429098,528207,676635.0,741850.0,753864.0,766606.0,669485.0,665999.0,714994.0,846584.0,838565.0,West
Singapore,96077.0,89794.0,92538,97646,115034,127808,148627,180942,193617,194150,239808,279357.0,295093.0,307576.0,314864.0,307999.0,319030.0,343273.0,376870.0,376837.0,Southeast
South Korea,576483.0,547743.0,626989,702696,792532,934708,1052610,1172465,1049168,943739,1143568,1253419.0,1278046.0,1370633.0,1484489.0,1466039.0,1499362.0,1623074.0,1725373.0,1651423.0,East
Sri Lanka,20007.0,19236.0,20238,22352,24423,28880,33447,38270,48177,49750,58643,67725.0,70392.0,76934.0,82483.0,85091.0,88000.0,94376.0,94484.0,89015.0,South
Syria,19861.0,20979.0,22758,21702,25204,28881,33824,40488,52631,53939,60043,-449893.2804926366,-463379.32248448813,-494137.76841446734,-521593.6014784543,-513776.7349743864,-526057.7600603111,-570006.7561262567,-615243.0635633571,-606524.732352234,West
Tajikistan,991.0,1057.0,1212,1555,2073,2311,2811,3712,5135,4977,5642,6523.0,7592.0,8506.0,9242.0,7857.0,6994.0,7535.0,7762.0,8301.0,Central
Thailand,126132.0,120105.0,134177,152142,172752,189084,221579,263007,290970,281399,340928,370929.0,397722.0,420364.0,407373.0,401142.0,413497.0,456523.0,506547.0,543923.0,Southeast
Timor-Leste,367.0,477.0,470,490,441,462,454,543,648,727,882,1042.0,1160.0,1396.0,1447.0,1594.0,1651.0,1596.0,1564.0,2029.0,Southeast
Turkey,274321.0,202248.0,240191,314752,409127,506186,555126,680489,770820,648797,776558,838508.0,880141.0,957504.0,938512.0,864071.0,869280.0,858932.0,779694.0,759450.0,West
Turkmenistan,8487.0,11717.0,14703,19307,23991,29023,36154,43875,36363,34162,34788,44070.0,49858.0,51301.0,55523.0,44060.0,41698.0,46365.0,48686.0,52961.0,Central
United Arab Emirates,103893.0,103312.0,109816,124346,147824,180617,222117,257916,315475,253547,289787,350666.0,384610.0,400219.0,414105.0,370276.0,369255.0,390517.0,427049.0,417990.0,West
Uzbekistan,17195.0,14581.0,12106,12697,15045,17939,21344,27963,35858,41945,49772,60213.0,67520.0,73192.0,80848.0,85662.0,85658.0,62081.0,52870.0,60284.0,Central
Vietnam,39585.0,41297.0,44563,50233,62877,73197,84301,98426,124756,129022,143212,171312.0,195169.0,212728.0,232888.0,236795.0,252146.0,277071.0,304470.0,331818.0,Southeast
Yemen,9679.0,9853.0,10693,11778,13868,16732,19063,21651,26911,25130,30907,32726.0,35401.0,40415.0,43229.0,42444.0,31318.0,26842.0,21606.0,21888.0,West
